month,forecast,climatology,deviation in %
Mar-2022,0.8905462471401634,1.4138912516129032,-37.014516065201725
Apr-2022,0.8905462471401634,1.58963196,-43.97783452088096
May-2022,0.8905462471401634,1.639997687096774,-45.69832298259739
Jun-2022,0.8905462471401634,1.2522424366666667,-28.883878946739678
Jul-2022,0.8905462471401634,1.0844811419354838,-17.882735558610356
Aug-2022,0.8905462471401634,1.3238635516129031,-32.73126629589704
Sep-2022,0.8905462471401634,1.0194565266666666,-12.645000169649535
Oct-2022,0.8905462471401634,1.0720349161290323,-16.92936174543634
Nov-2022,0.8905462471401634,0.8226816966666667,8.249186866374881
Dec-2022,0.8905462471401634,0.650522735483871,36.897021205224824
Jan-2023,0.8905462471401634,0.7796315845161291,14.226548132073482
Feb-2023,0.8905462471401634,1.0146267506896551,-12.229177228488465
